word,type,syllables,joint_syllables
artropatie,substantiv,"['ar', 'tro', 'pa', 'tí', 'e']",ar-tro-pa-tí-e
artroplastie,substantiv,"['ar', 'tro', 'plas', 'tí', 'e']",ar-tro-plas-tí-e
artropod,substantiv,"['ar', 'tro', 'pód']",ar-tro-pód
artroscop,substantiv,[],not-found
artroscopie,substantiv,[],not-found
artrotomie,substantiv,[],not-found
artroză,substantiv,"['ar', 'tró', 'za']",ar-tró-za
artrozic,adjectiv,"['ar', 'tró', 'zic']",ar-tró-zic
artterapie,substantiv,[],not-found
arunca,verb,"['a', 'run', 'cá']",a-run-cá
aruncare,substantiv,"['a', 'run', 'cá', 're']",a-run-cá-re
aruncat,adjectiv,"['a', 'run', 'cát']",a-run-cát
aruncător,adjectiv,"['a', 'run', 'că', 'tór']",a-run-că-tór
aruncător,substantiv,"['a', 'run', 'că', 'tór']",a-run-că-tór
aruncătură,substantiv,"['a', 'run', 'că', 'tú', 'ra']",a-run-că-tú-ra
arvanit,adjectiv,"['ar', 'va', 'nít']",ar-va-nít
arvicol,adjectiv,"['ar', 'ví', 'col']",ar-ví-col
arvoni,verb,[],not-found
arvonit,adjectiv,[],not-found
arvună,substantiv,"['ar', 'vú', 'na']",ar-vú-na
arvuni,verb,"['ar', 'vu', 'ní']",ar-vu-ní
arvunire,substantiv,"['ar', 'vu', 'ní', 're']",ar-vu-ní-re
arvunit,adjectiv,"['ar', 'vu', 'nít']",ar-vu-nít
arz,substantiv,['arz'],arz
arzător,adjectiv,"['ar', 'ză', 'tór']",ar-ză-tór
arzător,substantiv,"['ar', 'ză', 'tór']",ar-ză-tór
arzoi,adjectiv,[],not-found
arzos,adjectiv,[],not-found
as,substantiv,['as'],as
așa,adverb,"['a', 'şá']",a-şá
asab,substantiv,"['a', 'sáb']",a-sáb
asalt,substantiv,"['a', 'sált']",a-sált
asalta,verb,"['a', 'sal', 'tá']",a-sal-tá
asaltare,substantiv,"['a', 'sal', 'tá', 're']",a-sal-tá-re
asaltat,adjectiv,"['a', 'sal', 'tát']",a-sal-tát
asaltat,substantiv,"['a', 'sal', 'tát']",a-sal-tát
asaltator,substantiv,"['a', 'sal', 'tá', 'tor']",a-sal-tá-tor
asambla,verb,"['a', 'sam', 'blá']",a-sam-blá
