word,type,syllables,joint_syllables
asamblaj,substantiv,"['a', 'sam', 'bláj']",a-sam-bláj
asamblare,substantiv,"['a', 'sam', 'blá', 're']",a-sam-blá-re
asamblat,adjectiv,"['a', 'sam', 'blát']",a-sam-blát
asamblat,substantiv,"['a', 'sam', 'blát']",a-sam-blát
asamblor,substantiv,"['a', 'sam', 'blór']",a-sam-blór
asană,substantiv,"['a', 'sa', 'ná']",a-sa-ná
asana,verb,"['a', 'sa', 'ná']",a-sa-ná
asanare,substantiv,"['a', 'sa', 'ná', 're']",a-sa-ná-re
asanat,adjectiv,"['a', 'sa', 'nát']",a-sa-nát
asanat,substantiv,"['a', 'sa', 'nát']",a-sa-nát
asanator,adjectiv,"['a', 'sa', 'na', 'tór']",a-sa-na-tór
asanator,substantiv,"['a', 'sa', 'na', 'tór']",a-sa-na-tór
așarna,verb,"['a', 'şar', 'ná']",a-şar-ná
așarnat,adjectiv,"['a', 'şar', 'nát']",a-şar-nát
asasin,substantiv,"['a', 'sa', 'sín']",a-sa-sín
asasină,substantiv,"['a', 'sa', 'si', 'ná', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'imperfect)']",a-sa-si-ná-(verb---infinitiv-/-verb---imperfect)
asasina,verb,"['a', 'sa', 'si', 'ná', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'imperfect)']",a-sa-si-ná-(verb---infinitiv-/-verb---imperfect)
asasinare,substantiv,"['a', 'sa', 'si', 'ná', 're']",a-sa-si-ná-re
asasinat,adjectiv,"['a', 'sa', 'si', 'nát']",a-sa-si-nát
asasinat,substantiv,"['a', 'sa', 'si', 'nát']",a-sa-si-nát
asbest,substantiv,[],not-found
ască,substantiv,"['ás', 'ca']",ás-ca
ascarid,adjectiv,"['as', 'ca', 'ríd']",as-ca-ríd
ascarid,substantiv,"['as', 'ca', 'ríd']",as-ca-ríd
ascaridă,substantiv,[],not-found
ascaridioză,substantiv,"['as', 'ca', 'ri', 'di', 'ó', 'za']",as-ca-ri-di-ó-za
ascendent,adjectiv,"['as', 'cen', 'dént']",as-cen-dént
ascendent,substantiv,"['as', 'cen', 'dént']",as-cen-dént
ascendentă,substantiv,"['as', 'cen', 'dén', 'tă']",as-cen-dén-tă
ascendență,substantiv,"['as', 'cen', 'dén', 'tă']",as-cen-dén-tă
ascensiona,verb,"['as', 'cen', 'sio', 'ná']",as-cen-sio-ná
ascensional,adjectiv,"['as', 'cen', 'si', 'o', 'nál']",as-cen-si-o-nál
ascensionare,substantiv,"['as', 'cen', 'sio', 'ná', 're']",as-cen-sio-ná-re
ascensionat,adjectiv,"['as', 'cen', 'sio', 'nát']",as-cen-sio-nát
ascensionist,adjectiv,[],not-found
ascensiune,substantiv,"['as', 'cen', 'si', 'ú', 'ne']",as-cen-si-ú-ne
ascensiv,adjectiv,"['as', 'cen', 'sív']",as-cen-sív
ascensor-clasic,substantiv,[],not-found
ascensor,substantiv,"['as', 'cen', 'sór']",as-cen-sór
ascet,substantiv,"['as', 'cét']",as-cét
ascetă,substantiv,"['as', 'cé', 'ta']",as-cé-ta
ascetic,adjectiv,"['as', 'cé', 'tic']",as-cé-tic
ascetism,substantiv,"['as', 'ce', 'tísm']",as-ce-tísm
ascetiza,verb,"['as', 'ce', 'ti', 'zá']",as-ce-ti-zá
ascetizat,adjectiv,"['as', 'ce', 'ti', 'zát']",as-ce-ti-zát
asceză,substantiv,"['as', 'cé', 'za']",as-cé-za
așchia,verb,"['aş', 'chi', 'á', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'imperfect)']",aş-chi-á-(verb---infinitiv-/-verb---imperfect)
așchiat,adjectiv,"['aş', 'chi', 'át']",aş-chi-át
așchie,substantiv,"['aş', 'chi', 'é', '(verb', '-', 'perfectul', 'simplu)']",aş-chi-é-(verb---perfectul-simplu)
așchiere,substantiv,"['aş', 'chi', 'é', 're']",aş-chi-é-re
așchietor,adjectiv,"['a', 'şchi', 'e', 'tór']",a-şchi-e-tór
aschimodie,substantiv,"['as', 'chi', 'mó', 'di', 'e']",as-chi-mó-di-e
așchioară,substantiv,"['aş', 'chi', 'oá', 'ra']",aş-chi-oá-ra
așchios,adjectiv,"['aş', 'chi', 'ós']",aş-chi-ós
așchiuță,substantiv,"['aş', 'chi', 'ú', 'ţa']",aş-chi-ú-ţa
ascidie,substantiv,"['as', 'cí', 'di', 'e']",as-cí-di-e
ascită,substantiv,"['as', 'cí', 'ta']",as-cí-ta
ascitic,adjectiv,"['as', 'cí', 'tic']",as-cí-tic
ascitic,substantiv,"['as', 'cí', 'tic']",as-cí-tic
asclepiad,adjectiv,"['as', 'cle', 'pi', 'ád']",as-cle-pi-ád
asclepiadacee,substantiv,"['as', 'cle', 'pi', 'a', 'da', 'cé', 'e']",as-cle-pi-a-da-cé-e
ascochitoză,substantiv,"['as', 'co', 'chi', 'tó', 'za']",as-co-chi-tó-za
ascomicetă,substantiv,"['as', 'co', 'mi', 'cé', 'ta']",as-co-mi-cé-ta
ascomicete,substantiv,"['as', 'co', 'mi', 'cé', 'te']",as-co-mi-cé-te
ascospor,substantiv,"['as', 'cos', 'pór']",as-cos-pór
asculta,verb,"['as', 'cul', 'tá']",as-cul-tá
ascultare,substantiv,"['as', 'cul', 'tá', 're']",as-cul-tá-re
ascultat,adjectiv,"['as', 'cul', 'tát']",as-cul-tát
ascultat,substantiv,"['as', 'cul', 'tát']",as-cul-tát
ascultătoare,substantiv,"['as', 'cul', 'tă', 'toá', 're']",as-cul-tă-toá-re
ascultător,adjectiv,"['as', 'cul', 'tă', 'tór']",as-cul-tă-tór
ascultător,substantiv,"['as', 'cul', 'tă', 'tór']",as-cul-tă-tór
ascunde,verb,"['as', 'cún', 'de']",as-cún-de
ascundere,substantiv,"['as', 'cún', 'de', 're']",as-cún-de-re
ascuns,adjectiv,"['as', 'cúns']",as-cúns
ascuns,substantiv,"['as', 'cúns']",as-cúns
ascunzătoare,substantiv,"['as', 'cun', 'ză', 'toá', 're']",as-cun-ză-toá-re
ascunzătură,substantiv,[],not-found
ascunziș,substantiv,"['as', 'cun', 'zíş']",as-cun-zíş
ascuți,verb,"['as', 'cu', 'ţí', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'perfectul', 'simplu)']",as-cu-ţí-(verb---infinitiv-/-verb---perfectul-simplu)
ascuțime,substantiv,"['as', 'cu', 'ţí', 'me']",as-cu-ţí-me
ascuțire,substantiv,"['as', 'cu', 'ţí', 're']",as-cu-ţí-re
ascuțiș,substantiv,"['as', 'cu', 'ţíş']",as-cu-ţíş
ascuțit,adjectiv,"['as', 'cu', 'ţít']",as-cu-ţít
ascuțit,substantiv,"['as', 'cu', 'ţít']",as-cu-ţít
ascuțitoare,substantiv,"['as', 'cu', 'ţi', 'toá', 're']",as-cu-ţi-toá-re
ascuțitor,substantiv,"['as', 'cu', 'ţi', 'tór']",as-cu-ţi-tór
ascuțitunghic,substantiv,[],not-found
aseca,verb,"['a', 'se', 'cá']",a-se-cá
asecare,substantiv,"['a', 'se', 'cá', 're']",a-se-cá-re
asedia,verb,"['a', 'se', 'di', 'á']",a-se-di-á
asediat,adjectiv,"['a', 'se', 'di', 'át']",a-se-di-át
asediat,substantiv,"['a', 'se', 'di', 'át']",a-se-di-át
asediator,adjectiv,"['a', 'se', 'di', 'a', 'tór']",a-se-di-a-tór
asediator,substantiv,"['a', 'se', 'di', 'a', 'tór']",a-se-di-a-tór
asediere,substantiv,"['a', 'se', 'di', 'é', 're']",a-se-di-é-re
asediu,substantiv,"['a', 'sé', 'diu']",a-sé-diu
aseismic,adjectiv,"['a', 'se', 'ís', 'mic']",a-se-ís-mic
aseitate,substantiv,[],not-found
aseleniza,verb,"['a', 'se', 'le', 'ni', 'zá']",a-se-le-ni-zá
aselenizare,substantiv,"['a', 'se', 'le', 'ni', 'zá', 're']",a-se-le-ni-zá-re
aselenizat,adjectiv,"['a', 'se', 'le', 'ni', 'zát']",a-se-le-ni-zát
asemăluire,substantiv,[],not-found
asemăna,verb,"['a', 'se', 'mă', 'ná']",a-se-mă-ná
asemănare,substantiv,"['a', 'se', 'mă', 'ná', 're']",a-se-mă-ná-re
asemănat,adjectiv,"['a', 'se', 'mă', 'nát']",a-se-mă-nát
asemănat,substantiv,"['a', 'se', 'mă', 'nát']",a-se-mă-nát
asemănător,adjectiv,"['a', 'se', 'mă', 'nă', 'tór']",a-se-mă-nă-tór
asemănător,substantiv,"['a', 'se', 'mă', 'nă', 'tór']",a-se-mă-nă-tór
asemantic,adjectiv,"['a', 'se', 'mán', 'tic']",a-se-mán-tic
asemie,substantiv,"['a', 'se', 'mí', 'e']",a-se-mí-e
asemui,verb,"['a', 'se', 'mu', 'í']",a-se-mu-í
asemuire,substantiv,"['a', 'se', 'mu', 'í', 're']",a-se-mu-í-re
asemuit,adjectiv,"['a', 'se', 'mu', 'ít']",a-se-mu-ít
asemuit,substantiv,"['a', 'se', 'mu', 'ít']",a-se-mu-ít
asentiment,substantiv,"['a', 'sen', 'ti', 'mént']",a-sen-ti-mént
asepsie,substantiv,"['a', 'sep', 'sí', 'e']",a-sep-sí-e
aseptic,adjectiv,"['a', 'sép', 'tic']",a-sép-tic
aseptiza,verb,"['a', 'sep', 'ti', 'zá']",a-sep-ti-zá
aseptizare,substantiv,"['a', 'sep', 'ti', 'zá', 're']",a-sep-ti-zá-re
aseptizat,adjectiv,"['a', 'sep', 'ti', 'zát']",a-sep-ti-zát
asert,substantiv,"['a', 'sért']",a-sért
aserțiune,substantiv,"['a', 'ser', 'ţi', 'ú', 'ne']",a-ser-ţi-ú-ne
asertiv,adjectiv,"['a', 'ser', 'tív']",a-ser-tív
asertoric,adjectiv,"['a', 'ser', 'tó', 'ric']",a-ser-tó-ric
aservi,verb,"['a', 'ser', 'ví']",a-ser-ví
aservire,substantiv,"['a', 'ser', 'ví', 're']",a-ser-ví-re
aservit,adjectiv,"['a', 'ser', 'vít']",a-ser-vít
aservit,substantiv,"['a', 'ser', 'vít']",a-ser-vít
aservită,substantiv,"['a', 'ser', 'ví', 'tă']",a-ser-ví-tă
asesoare,substantiv,"['a', 'se', 'soá', 're']",a-se-soá-re
asesor,substantiv,"['a', 'se', 'sór']",a-se-sór
asexualitate,substantiv,"['a', 'se', 'xua', 'li', 'tá', 'te']",a-se-xua-li-tá-te
asexuat,adjectiv,"['a', 'se', 'xuát']",a-se-xuát
așeza,verb,"['a', 'şe', 'zá']",a-şe-zá
așezământ,substantiv,"['a', 'şe', 'ză', 'mấnt']",a-şe-ză-mấnt
așezare,substantiv,"['a', 'şe', 'zá', 're']",a-şe-zá-re
așezat,adjectiv,"['a', 'şe', 'zát']",a-şe-zát
așezat,substantiv,"['a', 'şe', 'zát']",a-şe-zát
așezător,adjectiv,[],not-found
așezătură,substantiv,[],not-found
asezona,verb,"['a', 'se', 'zo', 'ná']",a-se-zo-ná
asezonare,substantiv,"['a', 'se', 'zo', 'ná', 're']",a-se-zo-ná-re
asezonat,adjectiv,"['a', 'se', 'zo', 'nát']",a-se-zo-nát
asezonat,substantiv,"['a', 'se', 'zo', 'nát']",a-se-zo-nát
asfalt,substantiv,"['as', 'fált']",as-fált
asfalta,verb,"['as', 'fal', 'tá']",as-fal-tá
asfaltare,substantiv,"['as', 'fal', 'tá', 're']",as-fal-tá-re
asfaltat,adjectiv,"['as', 'fal', 'tát']",as-fal-tát
asfaltene,substantiv,"['as', 'fal', 'té', 'ne']",as-fal-té-ne
asfaltic,adjectiv,"['as', 'fál', 'tic']",as-fál-tic
asfaltos,adjectiv,"['as', 'fal', 'tós']",as-fal-tós
asferic,adjectiv,"['as', 'fé', 'ric']",as-fé-ric
asfigmie,substantiv,"['as', 'fig', 'mí', 'e']",as-fig-mí-e
asfinți,verb,"['as', 'fin', 'ţí']",as-fin-ţí
asfințire,substantiv,"['as', 'fin', 'ţí', 're']",as-fin-ţí-re
asfințit,adjectiv,"['as', 'fin', 'ţít']",as-fin-ţít
asfințit,substantiv,"['as', 'fin', 'ţít']",as-fin-ţít
asfixia,verb,"['as', 'fi', 'xi', 'á', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'imperfect)']",as-fi-xi-á-(verb---infinitiv-/-verb---imperfect)
asfixiant,adjectiv,"['as', 'fi', 'xi', 'ánt']",as-fi-xi-ánt
asfixiat,adjectiv,"['as', 'fi', 'xi', 'át']",as-fi-xi-át
asfixiat,substantiv,"['as', 'fi', 'xi', 'át']",as-fi-xi-át
asfixiată,substantiv,"['as', 'fi', 'xi', 'á', 'tă']",as-fi-xi-á-tă
asfixic,adjectiv,"['as', 'fí', 'xic']",as-fí-xic
asfixie,substantiv,"['as', 'fi', 'xi', 'é', '(verb', '-', 'perfectul', 'simplu)']",as-fi-xi-é-(verb---perfectul-simplu)
asfixiere,substantiv,"['as', 'fi', 'xi', 'é', 're']",as-fi-xi-é-re
asfodel,substantiv,[],not-found
asfodelă,substantiv,"['as', 'fo', 'dé', 'la']",as-fo-dé-la
asialie,substantiv,[],not-found
asianic,adjectiv,[],not-found
asianism,substantiv,[],not-found
asiat,adjectiv,"['a', 'si', 'át']",a-si-át
asiat,substantiv,"['a', 'si', 'át']",a-si-át
asiată,substantiv,"['a', 'si', 'á', 'ta']",a-si-á-ta
asiatic,adjectiv,"['a', 'si', 'á', 'tic']",a-si-á-tic
asiatic,substantiv,"['a', 'si', 'á', 'tic']",a-si-á-tic
asiatică,substantiv,"['a', 'si', 'á', 'ti', 'ca']",a-si-á-ti-ca
asiatism,substantiv,[],not-found
asiduitate,substantiv,"['a', 'si', 'du', 'i', 'tá', 'te']",a-si-du-i-tá-te
asiduu,adjectiv,"['a', 'sí', 'du', 'u']",a-sí-du-u
asietă,substantiv,"['a', 'si', 'é', 'ta']",a-si-é-ta
asigna,verb,"['a', 'sig', 'ná']",a-sig-ná
asignare,substantiv,"['a', 'sig', 'ná', 're']",a-sig-ná-re
asignat,adjectiv,"['a', 'sig', 'nát']",a-sig-nát
asignat,substantiv,"['a', 'sig', 'nát']",a-sig-nát
asignație,substantiv,"['a', 'sig', 'ná', 'ţi', 'e']",a-sig-ná-ţi-e
asigura,verb,"['a', 'si', 'gu', 'rá']",a-si-gu-rá
asigurare,substantiv,"['a', 'si', 'gu', 'rá', 're']",a-si-gu-rá-re
asigurat,adjectiv,"['a', 'si', 'gu', 'rát']",a-si-gu-rát
asigurat,substantiv,"['a', 'si', 'gu', 'rát']",a-si-gu-rát
asigurată,substantiv,"['a', 'si', 'gu', 'rá', 'ta']",a-si-gu-rá-ta
asigurator,adjectiv,"['a', 'si', 'gu', 'ră', 'tór']",a-si-gu-ră-tór
asigurător,adjectiv,"['a', 'si', 'gu', 'ră', 'tór']",a-si-gu-ră-tór
asigurator,substantiv,"['a', 'si', 'gu', 'ră', 'tór']",a-si-gu-ră-tór
asiguratoriu,adjectiv,[],not-found
asimbolie,substantiv,[],not-found
asimetric,adjectiv,"['a', 'si', 'mé', 'tric']",a-si-mé-tric
asimetrie,substantiv,"['a', 'si', 'me', 'trí', 'e']",a-si-me-trí-e
asimila,verb,"['a', 'si', 'mi', 'lá']",a-si-mi-lá
asimilabil,adjectiv,"['a', 'si', 'mi', 'lá', 'bil']",a-si-mi-lá-bil
asimilare,substantiv,"['a', 'si', 'mi', 'lá', 're']",a-si-mi-lá-re
asimilat,adjectiv,"['a', 'si', 'mi', 'lát']",a-si-mi-lát
asimilat,substantiv,"['a', 'si', 'mi', 'lát']",a-si-mi-lát
asimilație,substantiv,"['a', 'si', 'mi', 'lá', 'ţi', 'e']",a-si-mi-lá-ţi-e
asimilativ,adjectiv,"['a', 'si', 'mi', 'la', 'tív']",a-si-mi-la-tív
asimilator,adjectiv,"['a', 'si', 'mi', 'la', 'tór']",a-si-mi-la-tór
asimptomatic,adjectiv,"['a', 'simp', 'to', 'má', 'tic']",a-simp-to-má-tic
asimptotă,substantiv,"['a', 'simp', 'tó', 'ta']",a-simp-tó-ta
asimptotic,adjectiv,"['a', 'simp', 'tó', 'tic']",a-simp-tó-tic
asin,substantiv,"['a', 'sín']",a-sín
asincron,adjectiv,"['a', 'sin', 'crón']",a-sin-crón
asincronic,adjectiv,"['a', 'sin', 'cró', 'nic']",a-sin-cró-nic
asincronism,substantiv,"['a', 'sin', 'cro', 'nísm']",a-sin-cro-nísm
asindet,substantiv,"['a', 'sin', 'dét']",a-sin-dét
asindetic,adjectiv,"['a', 'sin', 'dé', 'tic']",a-sin-dé-tic
asinergie,substantiv,"['a', 'si', 'ner', 'gí', 'e']",a-si-ner-gí-e
asintactic,adjectiv,"['a', 'sin', 'tác', 'tic']",a-sin-tác-tic
asintaxie,substantiv,"['a', 'sin', 'ta', 'xí', 'e']",a-sin-ta-xí-e
asirian,adjectiv,"['a', 'si', 'ri', 'án']",a-si-ri-án
asiriană,substantiv,"['a', 'si', 'ri', 'á', 'na', '(substantiv)']",a-si-ri-á-na-(substantiv)
asiriolog,adjectiv,"['a', 'si', 'ri', 'o', 'lóg']",a-si-ri-o-lóg
asiriologie,substantiv,"['a', 'si', 'ri', 'o', 'lo', 'gí', 'e']",a-si-ri-o-lo-gí-e
asiro-babilonian,adjectiv,"['a', 'si', 'ro', 'ba', 'bi', 'lo', 'nián']",a-si-ro-ba-bi-lo-nián
asista,verb,"['a', 'sis', 'tá']",a-sis-tá
asistant,substantiv,[],not-found
asistare,substantiv,"['a', 'sis', 'tá', 're']",a-sis-tá-re
asistat,adjectiv,"['a', 'sis', 'tát']",a-sis-tát
asistat,substantiv,"['a', 'sis', 'tát']",a-sis-tát
asistent,adjectiv,"['a', 'sis', 'tént']",a-sis-tént
asistent,substantiv,"['a', 'sis', 'tént']",a-sis-tént
asistentă,substantiv,"['a', 'sis', 'tén', 'tă']",a-sis-tén-tă
asistență,substantiv,"['a', 'sis', 'tén', 'tă']",a-sis-tén-tă
asistolie,substantiv,"['a', 'sis', 'to', 'lí', 'e']",a-sis-to-lí-e
asiză,substantiv,"['a', 'sí', 'za']",a-sí-za
asmațuchi,substantiv,[],not-found
asmățui,substantiv,[],not-found
asmuța,verb,"['as', 'mú', 'tă']",as-mú-tă
asmuțare,substantiv,[],not-found
asmuți,verb,"['as', 'mu', 'ţí', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'perfectul', 'simplu)']",as-mu-ţí-(verb---infinitiv-/-verb---perfectul-simplu)
asmuțire,substantiv,"['as', 'mu', 'ţí', 're']",as-mu-ţí-re
asmuțit,adjectiv,"['as', 'mu', 'ţít']",as-mu-ţít
asmuțit,substantiv,"['as', 'mu', 'ţít']",as-mu-ţít
asocia,verb,"['a', 'so', 'ci', 'á']",a-so-ci-á
asocial,adjectiv,"['a', 'so', 'ci', 'ál']",a-so-ci-ál
asociat,adjectiv,"['a', 'so', 'ci', 'át']",a-so-ci-át
asociat,substantiv,"['a', 'so', 'ci', 'át']",a-so-ci-át
asociată,substantiv,"['a', 'so', 'ci', 'á', 'ta']",a-so-ci-á-ta
asociație,substantiv,"['a', 'so', 'ci', 'á', 'ţi', 'e']",a-so-ci-á-ţi-e
asociațional,adjectiv,"['a', 'so', 'ci', 'a', 'ţi', 'o', 'nál']",a-so-ci-a-ţi-o-nál
asociaționism,substantiv,"['a', 'so', 'ci', 'a', 'ţi', 'o', 'nísm']",a-so-ci-a-ţi-o-nísm
asociaționist,adjectiv,"['a', 'so', 'ci', 'a', 'ţi', 'o', 'níst']",a-so-ci-a-ţi-o-níst
asociativ,adjectiv,"['a', 'so', 'ci', 'a', 'tív']",a-so-ci-a-tív
asociativitate,substantiv,"['a', 'so', 'ci', 'a', 'ti', 'vi', 'tá', 'te']",a-so-ci-a-ti-vi-tá-te
asociere,substantiv,"['a', 'so', 'ci', 'é', 're']",a-so-ci-é-re
asola,verb,"['a', 'so', 'lá']",a-so-lá
asolament,substantiv,"['a', 'so', 'la', 'mént']",a-so-la-mént
asoma,verb,"['a', 'so', 'má']",a-so-má
asomare,substantiv,"['a', 'so', 'má', 're']",a-so-má-re
asomat,adjectiv,"['a', 'so', 'mát']",a-so-mát
asomatognozie,substantiv,[],not-found
asomator,substantiv,"['a', 'so', 'ma', 'tór']",a-so-ma-tór
asonant,adjectiv,"['a', 'so', 'nánt']",a-so-nánt
asonanță,substantiv,"['a', 'so', 'nán', 'tă']",a-so-nán-tă
asorta,verb,"['a', 'sor', 'tá']",a-sor-tá
asortabil,adjectiv,"['a', 'sor', 'tá', 'bil']",a-sor-tá-bil
asortare,substantiv,"['a', 'sor', 'tá', 're']",a-sor-tá-re
asortat,adjectiv,"['a', 'sor', 'tát']",a-sor-tát
asortat,substantiv,"['a', 'sor', 'tát']",a-sor-tát
asortiment,substantiv,"['a', 'sor', 'ti', 'mént']",a-sor-ti-mént
asparagină,substantiv,"['as', 'pa', 'rá', 'gi', 'na']",as-pa-rá-gi-na
asparagus,substantiv,"['as', 'pa', 'rá', 'gus']",as-pa-rá-gus
aspațial,adjectiv,[],not-found
aspect,substantiv,"['as', 'péct']",as-péct
aspecta,verb,"['as', 'pec', 'tá']",as-pec-tá
aspectat,adjectiv,"['as', 'pec', 'tát']",as-pec-tát
aspectomat,substantiv,"['as', 'pec', 'to', 'mát']",as-pec-to-mát
aspectual,adjectiv,"['as', 'pec', 'tuál']",as-pec-tuál
aspectuos,adjectiv,"['as', 'pec', 'tu', 'ós']",as-pec-tu-ós
aspergil,substantiv,"['as', 'per', 'gíl']",as-per-gíl
aspergiloză,substantiv,"['as', 'per', 'gi', 'ló', 'za']",as-per-gi-ló-za
asperitate,substantiv,"['as', 'pe', 'ri', 'tá', 'te']",as-pe-ri-tá-te
aspermie,substantiv,[],not-found
aspersare,substantiv,"['as', 'per', 'sá', 're']",as-per-sá-re
aspersiune,substantiv,"['as', 'per', 'si', 'ú', 'ne']",as-per-si-ú-ne
aspersor,substantiv,"['as', 'per', 'sór']",as-per-sór
aspic,substantiv,"['as', 'píc']",as-píc
aspidă,substantiv,"['as', 'pí', 'da']",as-pí-da
aspidistră,substantiv,"['as', 'pi', 'dís', 'tra']",as-pi-dís-tra
aspira,verb,"['as', 'pi', 'rá']",as-pi-rá
aspirant,adjectiv,"['as', 'pi', 'ránt']",as-pi-ránt
aspirantă,substantiv,"['as', 'pi', 'rán', 'ta']",as-pi-rán-ta
aspirantură,substantiv,"['as', 'pi', 'ran', 'tú', 'ra']",as-pi-ran-tú-ra
aspirare,substantiv,"['as', 'pi', 'rá', 're']",as-pi-rá-re
aspirat,adjectiv,"['as', 'pi', 'rát']",as-pi-rát
aspirat,substantiv,"['as', 'pi', 'rát']",as-pi-rát
aspirată,substantiv,"['as', 'pi', 'rá', 'tă']",as-pi-rá-tă
aspirație,substantiv,"['as', 'pi', 'rá', 'ţi', 'e']",as-pi-rá-ţi-e
aspirațiune,substantiv,[],not-found
aspirator,adjectiv,"['as', 'pi', 'ra', 'tór']",as-pi-ra-tór
aspirator,substantiv,"['as', 'pi', 'ra', 'tór']",as-pi-ra-tór
aspirină,substantiv,"['as', 'pi', 'rí', 'na']",as-pi-rí-na
asporogen,adjectiv,[],not-found
aspreală,substantiv,"['as', 'preá', 'la']",as-preá-la
asprete,substantiv,"['as', 'pré', 'te']",as-pré-te
asprețe,substantiv,"['as', 'pré', 'te']",as-pré-te
aspri,verb,"['as', 'prí', '(verb', '-', 'infinitiv', '/', 'verb', '-', 'perfectul', 'simplu)']",as-prí-(verb---infinitiv-/-verb---perfectul-simplu)
asprime,substantiv,"['as', 'prí', 'me']",as-prí-me
asprire,substantiv,[],not-found
asprit,adjectiv,"['as', 'prít']",as-prít
asprit,substantiv,"['as', 'prít']",as-prít
aspriu,adjectiv,"['as', 'príu']",as-príu
aspru,adjectiv,"['ás', 'pru']",ás-pru
astă,adjectiv,"['ás', 'ta']",ás-ta
astâmpăr,substantiv,"['as', 'tấm', 'păr']",as-tấm-păr
astâmpăra,verb,"['as', 'tâm', 'pă', 'rá']",as-tâm-pă-rá
astâmpărare,substantiv,"['as', 'tâm', 'pă', 'rá', 're']",as-tâm-pă-rá-re
astâmpărat,adjectiv,"['as', 'tâm', 'pă', 'rát']",as-tâm-pă-rát
astatiniu,substantiv,"['as', 'ta', 'tí', 'niu']",as-ta-tí-niu
astazie,substantiv,"['as', 'ta', 'zí', 'e']",as-ta-zí-e
asteism,substantiv,[],not-found
astenic,adjectiv,"['as', 'té', 'nic']",as-té-nic
astenică,substantiv,"['as', 'té', 'ni', 'că']",as-té-ni-că
astenie,substantiv,"['as', 'te', 'ní', 'e']",as-te-ní-e
asteniza,verb,"['as', 'te', 'ni', 'zá']",as-te-ni-zá
astenizare,substantiv,"['as', 'te', 'ni', 'zá', 're']",as-te-ni-zá-re
astenopie,substantiv,[],not-found
astenosferă,substantiv,"['as', 'te', 'nos', 'fé', 'ra']",as-te-nos-fé-ra
aștepta,verb,"['aş', 'tep', 'tá']",aş-tep-tá
așteptare,substantiv,"['aş', 'tep', 'tá', 're']",aş-tep-tá-re
așteptat,adjectiv,"['aş', 'tep', 'tát']",aş-tep-tát
așteptat,substantiv,"['aş', 'tep', 'tát']",aş-tep-tát
aster,substantiv,"['as', 'tér']",as-tér
astereală,substantiv,"['as', 'te', 'reá', 'la']",as-te-reá-la
astereognozie,substantiv,"['as', 'te', 're', 'o', 'gno', 'zí', 'e']",as-te-re-o-gno-zí-e
asteridă,substantiv,"['as', 'te', 'rí', 'da']",as-te-rí-da
asterie,substantiv,"['as', 'te', 'rí', 'e']",as-te-rí-e
asterisc,substantiv,"['as', 'te', 'rísc']",as-te-rísc
